,accession_number,author,copyright,credit_line,curatorial_department,date,dimensions,geography,id,location,medium,subtitle,title,url
3706,1985-52-14485,"Bartolommeo Ardy, Italian, 1821 - 1889",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",Mid- to late 19th century,"Plate: 7 3/16 x 10 9/16 inches (18.3 x 26.8 cm)
Sheet: 10 15/16 x 14 3/4 inches (27.9 x 37.5 cm)","Made in Italy, Europe",24432,Currently not on view,Etching,"Sotto i Castagni (Oggebbio, Lago Maggiore)","Under the Chestnuts at Oggebbio, Lago Maggiore",http://www.philamuseum.org/collections/permanent/24432.html
3707,2001-62-989,"Roger Parry, French, 1905 - 1977",,"125th Anniversary Acquisition. The Lynne and Harold Honickman Gift of the Julien Levy Collection, 2001","Prints, Drawings, and Photographs",c. 1930,"Image and sheet: 6 11/16 x 6 3/8 inches (17 x 16.2 cm)
Mount: 12 15/16 x 9 15/16 inches (32.8 x 25.3 cm)","Photograph taken in Paris, France, Europe",110016,Currently not on view,Gelatin silver print,,Untitled (Abstraction),http://www.philamuseum.org/collections/permanent/110016.html
3708,1985-52-5873,"Léon Jacque, French, born 1823. After Charles-Émile Jacque, French, 1813 - 1894.",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",c. 1860,"Plate: 7 13/16 x 10 9/16 inches (19.8 x 26.8 cm)
Sheet: 11 x 14 15/16 inches (27.9 x 38 cm)","Made in Paris, France, Europe",4587,Currently not on view,Etching and drypoint with plate tone,Le Paturage,The Pasture,http://www.philamuseum.org/collections/permanent/4587.html
3709,1985-52-18976,"Adolph Schroedter, German, 1805 - 1875",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1837,Sheet: 7 3/8 x 10 7/8 inches (18.8 x 27.6 cm),"Made in Düsseldorf, North Rhine-Westphalia, Germany, Europe",15837,Currently not on view,Etching,,Itinerant Musicians Surprised by a Rainstorm,http://www.philamuseum.org/collections/permanent/15837.html
3710,1971-117-33(459),"Edward S. Curtis, American, 1868 - 1952. Printed by Suffolk Engraving & Electrotyping Co., Cambridge.",,"Purchased with funds contributed by the American Museum of Photography, 1971","Prints, Drawings, and Photographs",1923,"Image: 11 1/2 x 15 3/16 inches (29.2 x 38.6 cm)
Sheet: 17 3/4 x 21 15/16 inches (45.1 x 55.7 cm)","Photograph taken in United States, North and Central America",264049,Currently not on view,Photogravure,"Plate 459 from The North American Indian, Supplementary Portfolio 13",Fish-Weir across Trinity River - Hupa,http://www.philamuseum.org/collections/permanent/264049.html
3711,1941-58-5,"Toyohara Chikanobu (Yōshū), Japanese, 1838 - 1912. Published by Hasegawa Tsunejirō, 5 banchi Kaji-chō, Kanda-ku, Tokyo.",,"Gift of the heirs of Mrs. William D. Frishmuth, 1941","Prints, Drawings, and Photographs",1896,Ōban tate-e: 14 1/2 x 9 3/4 inches (36.8 x 24.8 cm),"Made in Japan, Asia Period: Meiji Period (1868-1912)",195008,Currently not on view,Color woodcut triptych,Tokugawa (?) jidai kifujin no sugata (?),Ladies of the Tokugawa (?) Period,http://www.philamuseum.org/collections/permanent/195008.html
3712,1969-290-36a,"Label Marindar, Paris",,"Gift of Fitz Eugene Dixon, Jr., 1969",Costume and Textiles,c. 1915,Center Back Length: 19 1/4 inches (48.9 cm),"Made in France, Europe",204965,Currently not on view,Ivory silk crepe de chine,,Girl's Coat,http://www.philamuseum.org/collections/permanent/204965.html
3713,1965-86-6760,"Carl Van Vechten, American, 1880 - 1964",Research inconclusive. Copyright may apply.,"Gift of John Mark Lutz, 1965","Prints, Drawings, and Photographs","May 6, 1943",Image and sheet: 9 1/2 × 7 1/2 inches (24.2 × 19.1 cm),"Photograph taken in New York, New York, United States, North and Central America",242930,Currently not on view,Gelatin silver print,,Hugh Laing and Alicia Markova as Romeo and Juliet,http://www.philamuseum.org/collections/permanent/242930.html
3714,2017-2-5,"Barbara Crane, American, born 1928",© Barbara Crane,"Purchased with funds contributed by Focus: Friends of Photography, 2017","Prints, Drawings, and Photographs",1970-1971 (negative and print),"Image: 10 1/4 × 8 7/16 inches (26.1 × 21.5 cm)
Sheet: 13 7/8 × 10 7/8 inches (35.3 × 27.7 cm)","Photograph taken in Chicago, Illinois, United States, North and Central America",339428,Currently not on view,Gelatin silver print,,People of the North Portal,http://www.philamuseum.org/collections/permanent/339428.html
3715,1985-52-26331,"Jean Baptiste Raphael Urbain Massard, French, 1775 - 1843. After François Hubert Drouais, French, 1727 - 1775. Copyist Lecuier, French, late 18th - early 19th century. Collaborator Louis H.P. Duval, French, active 19th century.",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1803,Sheet: 14 1/16 x 11 9/16 inches (35.6 x 29.3 cm),"Made in France, Europe",5841,Currently not on view,Engraving,La Cananéenne,The Canaanites,http://www.philamuseum.org/collections/permanent/5841.html
3716,2011-191-2,"Vincent Cianni, American, born 1952",© Vincent Cianni. All rights reserved.,"Gift of Anatole Pohorilenko, 2011","Prints, Drawings, and Photographs",1986 (negative); 1986 (print),"Image: 11 15/16 x 17 15/16 inches (30.3 x 45.6 cm)
Sheet: 15 13/16 x 19 7/8 inches (40.2 x 50.5 cm)","Photograph taken in New Hope, Pennsylvania, United States, North and Central America",321267,Currently not on view,Gelatin silver print,,"Danae's Dressing Room at the Raven, New Hope, PA",http://www.philamuseum.org/collections/permanent/321267.html
3717,1969-288-301,"Made by Sophia Shindel, American",,"Whitman Sampler Collection, gift of Pet, Incorporated, 1969",Costume and Textiles,1824,12 5/8 x 18 1/8 inches (32.1 x 46 cm),"Made in Lancaster County, Pennsylvania, United States, North and Central America",117779,Currently not on view,Linen plain weave with silk embroidery cross and rococo stitches,,Sampler,http://www.philamuseum.org/collections/permanent/117779.html
3718,1982-47-34,"Danny Lyon, American, born 1942",,"Purchased with the Lola Downin Peck Fund and the Alice Newton Osborn Fund, 1982","Prints, Drawings, and Photographs",1967,"Image: 8 3/8 × 12 9/16 inches (21.3 × 31.9 cm)
Sheet: 10 7/8 × 13 7/8 inches (27.7 × 35.3 cm)","Photograph taken in Knoxville, Tennessee, United States, North and Central America",149163,Currently not on view,Gelatin silver print,From the series The Bikeriders,Knoxville,http://www.philamuseum.org/collections/permanent/149163.html
3719,1997-181-1,"Designed by Philippe Starck, French, born 1949. Made by Alessi S.p.A., Crusinallo, Italy, 1921 - present.",,"Gift of Alessi S.p.A., 1997",European Decorative Arts and Sculpture,Designed 1990-1991,11 7/16 x 5 1/2 inches (29.1 x 14 cm),"Made in Italy, Europe",91289,Currently not on view,"Aluminum, thermoplastic rubber",,"""Juicy Salif"" Lemon Squeezer",http://www.philamuseum.org/collections/permanent/91289.html
3720,1964-180-3(3),"Artist/maker unknown, Chinese or Tibetan",,"Gift of Natacha Rambova, 1964",South Asian Art,18th century,2 1/8 × 1 3/4 × 3/4 inches (5.4 × 4.4 × 1.9 cm),"Possibly made in China, Asia Possibly made in Tibet, Asia",245939,Currently not on view,Stone,,Chen-re-zi,http://www.philamuseum.org/collections/permanent/245939.html
3721,1920-71-2,"Artist/maker unknown, American, Pennsylvania German. Printed by Gustav Sigismund Peters, American, 1793 - 1847.",,"Purchased with the Joseph E. Temple Fund, 1920","Prints, Drawings, and Photographs",1827-1847,Sheet: 16 1/8 x 12 7/8 inches (41 x 32.7 cm),"Printed in Harrisburg, Dauphin County, Pennsylvania, United States, North and Central America",146536,Currently not on view,Color woodcut and ink with pigments in gum medium on wove paper,,Birth and Baptismal Certificate,http://www.philamuseum.org/collections/permanent/146536.html
3722,2012-25-7,"Alexander Calder, American, 1898 - 1976","© Calder Foundation, New York / Artists Rights Society (ARS), New York","Gift of Ann E. and Donald W. McPhail, 2012","Prints, Drawings, and Photographs",1965,"Image (approximately): 19 1/2 x 28 3/8 inches (49.6 x 72 cm)
Sheet: 21 1/4 x 29 5/8 inches (53.9 x 75.3 cm)",,321501,Currently not on view,Color lithograph,,The Four Onions,http://www.philamuseum.org/collections/permanent/321501.html
3723,1990-33-1(35),"Joseph Cornell, American, 1903 - 1972","© Visual Artists and Galleries Assoc., Inc. (VAGA), New York","Gift of The Joseph and Robert Cornell Memorial Foundation, 1990","Prints, Drawings, and Photographs",c. 1942-1953,"Object contained in Duchamp Dossier - 1990-33-1(1a,b--118): 14 1/4 × 12 5/8 × 3 1/8 inches (36.2 × 32.1 × 7.9 cm)","Made in United States, North and Central America",298594,Currently not on view,Ephemera,,Untitled,http://www.philamuseum.org/collections/permanent/298594.html
3724,1978-123-2,"Rudolf Ray, American, 1891 - 1984",,"Gift of Stella Kramrisch, 1978",American Art,1959,15 1/4 x 41 inches (38.7 x 104.1 cm),"Made in United States, North and Central America",72112,Currently not on view,Burned charcoal and ground white rock on panel,,"Nanda Devi (Almora, Himalayas)",http://www.philamuseum.org/collections/permanent/72112.html
3725,1965-86-7202,"Carl Van Vechten, American, 1880 - 1964",Research inconclusive. Copyright may apply.,"Gift of John Mark Lutz, 1965","Prints, Drawings, and Photographs","August 2, 1935",Image and sheet: 9 11/16 × 7 3/16 inches (24.6 × 18.3 cm),"Photograph taken in New York, New York, United States, North and Central America",243390,Currently not on view,Gelatin silver print,,Oliver Messel,http://www.philamuseum.org/collections/permanent/243390.html
3726,2009-160-238,"Paul Strand, American, 1890 - 1976",© Paul Strand Archive/Aperture Foundation,"The Paul Strand Collection, partial and promised gift of Marguerite and Gerry Lenfest, 2009","Prints, Drawings, and Photographs",c. 1945 (negative); 1960s (print),"Image: 9 5/8 × 7 5/8 inches (24.4 × 19.4 cm)
Sheet: 9 13/16 × 7 13/16 inches (24.9 × 19.9 cm)","Photograph taken in Maine, United States, North and Central America",310904,Currently not on view,Gelatin silver print,,"Woods, Maine",http://www.philamuseum.org/collections/permanent/310904.html
3727,1985-52-8663,"Georg Friedrich Schmidt, German, 1712 - 1775. After a painting by Hyacinthe Rigaud, French, 1659 - 1743.",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1741,"Image: 13 3/8 x 9 1/2 inches (33.9 x 24.2 cm)
Sheet: 14 x 9 15/16 inches (35.6 x 25.2 cm)","Made in Paris, France, Europe",14297,Currently not on view,Etching and engraving,,Portrait of François Le Chambrier (1663 - 1730),http://www.philamuseum.org/collections/permanent/14297.html
3728,"1994-20-107a,b","Made by Boston and Sandwich Glass Company, Sandwich, Massachusetts, 1825 - 1888",,"Gift of Susanne Strassburger Anderson, Valerie Anderson Readman, and Veronica Anderson Macdonald from the estate of Mae Bourne and Ralph Beaver Strassburger, 1994",American Art,1825-1888,4 7/8 x 3 1/2 inches (12.4 x 8.9 cm),"Made in Sandwich, Massachusetts, United States, North and Central America",88900,"Gallery 114, American Art, first floor, Case 6, Tableware & Lighting Devices","Free-blown lead glass, called flint glass; applied base (colorless)",,"Whale Oil ""Petticoat"" Lamp, with Burner",http://www.philamuseum.org/collections/permanent/88900.html
3729,2014-144-184,"Designed by Suzanne Janin, French, 1907 - 2003. Designed by Jean Peltier, French, 1907 - 1984. Made by Soieries Combier, France, 20th century.",,"Purchased with funds contributed by Barbara B. and Theodore R. Aronson, an anonymous donor, Mrs. Samuel M.V. Hamilton, Bonnie and Peter McCausland, Marsha and Richard Rothman, the Levitties Family, Linda Richardson, Mr. and Mrs. Howard H. Lewis, Jr., Maxine S. and Howard H. Lewis, and with the Costume and Textiles Revolving Fund, 2014",Costume and Textiles,January 1939,35 1/2 × 25 3/4 inches (90.2 × 65.4 cm),"Made in France, Europe",331712,Currently not on view,Blue and silver silk brocade,,Printed Textile Swatch,http://www.philamuseum.org/collections/permanent/331712.html
3730,1928-42-2904,"Rembrandt Harmensz. van Rijn, Dutch (active Leiden and Amsterdam), 1606 - 1669",,"The Charles M. Lea Collection, 1928","Prints, Drawings, and Photographs",c. 1642,"Plate: 5 13/16 x 5 1/4 inches (14.7 x 13.4 cm)
Sheet: 5 7/8 x 5 1/2 inches (15 x 13.9 cm)","Made in Amsterdam, Netherlands, Europe",156725,Currently not on view,Etching,,Student at a Table by Candlelight,http://www.philamuseum.org/collections/permanent/156725.html
3731,2003-33-10,"Designed by Michael Schneider, German, born 1962. Made by mono Metallwarenfabrik Seibel GmbH, Mettmann, Germany, 1911 - present.",,"Gift of Collab: The Group for Modern and Contemporary Design at the Philadelphia Museum of Art, 2003",European Decorative Arts and Sculpture,Designed 1994,Length: 9 1/4 inches (23.5 cm),"Made in Germany, Europe",273253,Currently not on view,Stainless steel,,Table Fork,http://www.philamuseum.org/collections/permanent/273253.html
3732,1984-150-58,"John Edward Saché, German (active United States and India), 1825 - 1882",,"The Miller-Plummer Collection of Photography, 1984","Prints, Drawings, and Photographs",c. 1870,"Image and sheet: 8 3/8 × 11 1/8 inches (21.2 × 28.2 cm)
Mount: 15 7/16 × 20 9/16 inches (39.2 × 52.2 cm)","Photograph taken in India, Asia",182212,Currently not on view,Albumen silver print,,Hardinge Statue and Maidan,http://www.philamuseum.org/collections/permanent/182212.html
3733,1929-90-6b,"Artist/maker unknown, Chinese",,"Gift of Joseph Wasserman, 1929",Costume and Textiles,1736-1795,20 7/8 x 13 inches (53 x 33 cm),"Made in China, Asia Period: Qianlong Period (1736-1795)",168813,Currently not on view,Silk satin with silk and metallic brocading,,Woven Textile,http://www.philamuseum.org/collections/permanent/168813.html
3734,1985-52-19478,"Baron Karl von Vittinghof, Bohemian, 1772 - 1826",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",c. 1807,"Plate: 1 5/8 x 3 7/16 inches (4.1 x 8.7 cm)
Sheet: 2 3/8 x 4 3/16 inches (6 x 10.7 cm)","Made in Vienna, Austria, Europe",24354,Currently not on view,Etching,,Group of Goats,http://www.philamuseum.org/collections/permanent/24354.html
3735,1965-86-316,"Carl Van Vechten, American, 1880 - 1964",Research inconclusive. Copyright may apply.,"Gift of John Mark Lutz, 1965","Prints, Drawings, and Photographs","November 25, 1935",Image and sheet: 14 × 10 15/16 inches (35.5 × 27.8 cm),"Photograph taken in New York, New York, United States, North and Central America",235206,Currently not on view,Gelatin silver print,,Tom Handforth,http://www.philamuseum.org/collections/permanent/235206.html
3736,1917-129h,"Made by the Spode pottery and porcelain factory, Staffordshire, England, 1776 - 1833",,"Gift of Mrs. Josephine Lippincott Stokes Adams, 1917",European Decorative Arts and Sculpture,c. 1816,2 1/16 x 3 3/8 inches (5.2 x 8.5 cm),"Made in Stoke-on-Trent, Staffordshire, England, Europe",141259,Currently not on view,Soft-paste porcelain with transfer-printed and gilt decoration,,Cup,http://www.philamuseum.org/collections/permanent/141259.html
3737,2002-43-1,"Kim Jin-Woo, Korean, 1883 - 1950",,"Gift of the Kang Collection, Korean Fine Art, New York, 2002",East Asian Art,Early 20th century,"52 × 14 1/2 inches (132.1 × 36.8 cm)
Mount: 6 feet 9 1/4 inches × 19 1/8 inches (206.4 × 48.6 cm)","Made in Korea, Asia",159416,Currently not on view,Ink on paper; mounted as a hanging scroll,,Bamboo,http://www.philamuseum.org/collections/permanent/159416.html
3738,1985-52-23220,"Claude Marie François Dien, French, 1787 - 1865. After Raphael (Raffaello Santi), Italian (active central Italy), 1483 - 1520.",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1848,"Plate: 17 3/16 x 12 5/16 inches (43.7 x 31.2 cm)
Sheet: 21 5/8 x 16 5/16 inches (55 x 41.4 cm)","Made in Paris, France, Europe",2848,Currently not on view,Etching and engraving,La Sainte Famille,The Madonna of François I,http://www.philamuseum.org/collections/permanent/2848.html
3739,1969-208-255,"Masuharu, Japanese, active late 1840s-50s",,"Purchased with the Lola Downin Peck Fund and with funds contributed by various donors, 1969","Prints, Drawings, and Photographs",1849,Chūban tate-e: 9 1/4 x 6 3/8 inches (23.5 x 16.2 cm),"Made in Japan, Asia Period: Edo Period (1615-1868)",254834,Currently not on view,Color woodcut (polyptych panel?),,Jitsukawa Ensaburō as Kizu Kansuke,http://www.philamuseum.org/collections/permanent/254834.html
3740,1930-68-3a,"Artist/maker unknown, Chinese, for export to the American market",,"Gift of George Horace Lorimer, 1930",American Art,c. 1800,1 15/16 × 3 1/8 inches (4.9 × 7.9 cm),"Made in China, Asia",160297,Currently not on view,Porcelain with underglaze and gilt decoration,,Cup,http://www.philamuseum.org/collections/permanent/160297.html
3741,2014-193-9,"George Platt Lynes, American, 1907 - 1955",,"Gift of Anatole Pohorilenko, 2014","Prints, Drawings, and Photographs",1933,Album: 9 × 6 × 1 1/4 inches (22.9 × 15.2 × 3.2 cm),"Probably made in Shanghai, China, Asia",328243,Currently not on view,Album of gelatin silver prints; bound in black leather,,Travel Album,http://www.philamuseum.org/collections/permanent/328243.html
3742,2001-62-194,"Eugène Atget, French, 1857 - 1927",,"125th Anniversary Acquisition. The Lynne and Harold Honickman Gift of the Julien Levy Collection, 2001","Prints, Drawings, and Photographs",1923,Image and sheet (irregular): 8 9/16 x 7 3/16 inches (21.7 x 18.3 cm),"Photograph taken in France, Europe",109221,Currently not on view,Albumen silver print,Saint-Cloud,St. Cloud,http://www.philamuseum.org/collections/permanent/109221.html
3743,2007-199-1(1--15),"Kevin Bubriski, American, born 1954. Printed by John Marcy, Florence, Massachusetts.",,"Gift of Steven Kossak, 2007","Prints, Drawings, and Photographs",1996,Portfolio: 20 7/8 x 16 7/8 x 2 inches (53 x 42.9 x 5.1 cm),"Made in India, Asia Made in Nepal, Asia",301809,Currently not on view,Portfolio of fifteen platinum prints,,Sadhu - Hindu Holy Men,http://www.philamuseum.org/collections/permanent/301809.html
3744,1978-129-63,"Tsukioka Yoshitoshi, Japanese, 1839 - 1892. Engraved by Matsushima Hori Masa. Published by Kinkyū.",,"Gift of Sidney A. Tannenbaum, 1978","Prints, Drawings, and Photographs",1866,Sheet (chūban tate-e): approximately 9 3/4 x 7 inches (24.8 x 17.8 cm),"Made in Japan, Asia Period: Edo Period (1615-1868)",265431,Currently not on view,Color woodcut,,"Inue Shimbei Masashi and Woman by Bamboo Blind, from the series Beauty and Valor in the Novel Suikoden (Biyū suikoden)",http://www.philamuseum.org/collections/permanent/265431.html
3745,131-2016-7,"Circle of Sarah Kriebel, American, 1828 - 1908",,Promised gift of Joan and Victor Johnson,"Prints, Drawings, and Photographs",c. 1840,12 × 7 inches (30.5 × 17.8 cm),"Made in Worcester Township, Montgomery County, Pennsylvania, United States, North and Central America",327170,Currently not on view,Watercolor and pen and ink on paper,,Young Woman with Flowers,http://www.philamuseum.org/collections/permanent/327170.html
3746,1980-89-26,"Dorothy Norman, American, 1905 - 1997",,"From the Collection of Dorothy Norman, 1980","Prints, Drawings, and Photographs",1935,"Image/Sheet/Mount: 3 11/16 × 2 3/4 inches (9.3 × 7 cm)
Mount (secondary): 11 × 9 inches (28 × 22.8 cm)","Photograph taken in New York, United States, North and Central America",74563,Currently not on view,Gelatin silver print,,"Alfred Stieglitz LI, New York",http://www.philamuseum.org/collections/permanent/74563.html
3747,1969-83-77,"Alfred Stieglitz, American, 1864 - 1946",,"From the Collection of Dorothy Norman, 1969","Prints, Drawings, and Photographs",1895,Image and sheet: 9 1/16 × 6 13/16 inches (23 × 17.3 cm),"Photograph taken in Oaklawn, New York, Lake George, United States, North and Central America",147628,Currently not on view,Gelatin silver print,,"Oaklawn, Lake George",http://www.philamuseum.org/collections/permanent/147628.html
3748,2016-199-13,"Ray Yoshida, American, 1930 - 2009",,"Gift of the Robert Alan Lewis Collection Palm Beach, 2016",Contemporary Art,1982,Other: 37 × 51 × 2 1/2 inches (94 × 129.5 × 6.4 cm),"Made in Chicago, Illinois, United States, North and Central America",338050,Currently not on view,Acrylic on wood,,Known and Unknown,http://www.philamuseum.org/collections/permanent/338050.html
3749,1996-15-44,"Designed by Rose Descat, French (Paris)",,"Gift of Mr. and Mrs. Edward L. Jones, Jr., 1996",Costume and Textiles,c. 1930s,9 × 8 3/4 × 2 inches (22.9 × 22.2 × 5.1 cm),"Made in Paris, France, Europe",90197,Currently not on view,Grey wool tweed,,Woman's Hat (Beret),http://www.philamuseum.org/collections/permanent/90197.html
3750,1985-52-15351,"Friedrich Carl Rupprecht, German, 1779 - 1831",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1815,"Plate: 7 11/16 x 8 11/16 inches (19.5 x 22 cm)
Sheet: 8 1/16 x 8 15/16 inches (20.5 x 22.8 cm)","Made in Bamberg, Bavaria, Germany, Europe",15189,Currently not on view,Etching with masked plate tone,,Church of Our Lady Help of Christians in the Wunderburg Quarter at Bamberg,http://www.philamuseum.org/collections/permanent/15189.html
3751,1985-52-4691,"Artist/maker unknown, British. After an engraving by Matthäus Zasinger, German, born c. 1477, active 1500 - 1503. Published by W. Y. Ottley, London.",,"The Muriel and Philip Berman Gift, acquired from the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",c. 1828,"Plate: 7 1/8 x 5 15/16 inches (18.1 x 15.1 cm)
Sheet: 7 7/16 x 6 5/16 inches (18.9 x 16.1 cm)
Mount: 14 9/16 x 10 1/4 inches (37 x 26.1 cm)","Made in London, England, Europe",184663,Currently not on view,Etching,"Plate 91 from William Young Ottley, A Collection of 129 Fac-Similes of Scarce and Curious Prints, by the Early Masters of the Italian, German, and Flemish Schools (London 1828)",Solomon's Idolatry,http://www.philamuseum.org/collections/permanent/184663.html
3752,1985-52-15886,"Gerard de Lairesse, Dutch (active Liège, Amsterdam, and The Hague), 1641 - 1711",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",c. 1680,"Plate: 13 7/16 x 10 9/16 inches (34.1 x 26.9 cm)
Sheet: 15 11/16 x 12 3/4 inches (39.9 x 32.4 cm)","Made in Amsterdam, Netherlands, Europe",22725,Currently not on view,Etching,,Music,http://www.philamuseum.org/collections/permanent/22725.html
3753,1985-52-23953,"Jules Charles Remy François, French, 1809 - 1861. After Paul Delaroche, French, 1797 - 1857.",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1859,Plate: 19 5/8 x 13 13/16 inches (49.9 x 35.1 cm),"Made in Paris, France, Europe",2690,Currently not on view,Etching and engraving,La Vierge au pied de la croix,The Virgin at the Foot of the Cross (Mater Dolorosa),http://www.philamuseum.org/collections/permanent/2690.html
3754,1965-86-5576,"Carl Van Vechten, American, 1880 - 1964",Research inconclusive. Copyright may apply.,"Gift of John Mark Lutz, 1965","Prints, Drawings, and Photographs","March 5, 1941",Image and sheet: 9 7/8 × 7 9/16 inches (25.1 × 19.2 cm),"Photograph taken in New York, New York, United States, North and Central America",241587,Currently not on view,Gelatin silver print,,Nora Kaye in Gala Performance,http://www.philamuseum.org/collections/permanent/241587.html
3755,1985-52-18143,"Gaston Jean Coindre, French, 19th century",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1873,"Plate: 9 3/8 x 6 5/16 inches (23.8 x 16 cm)
Sheet: 12 3/16 x 8 11/16 inches (31 x 22.1 cm)","Made in Paris, France, Europe",1399,Currently not on view,Etching with plate tone,"Valleroy-Le-Bois (Haute Sa""ne) Ancien Château des Vaudrey",Old Chateau des Vaudrey at Valleroy-Le-Bois,http://www.philamuseum.org/collections/permanent/1399.html
3756,1923-21-528,Made for a tomb,,"Gift of Charles H. Ludington from the George Crofts Collection, 1923",East Asian Art,Early 6th century,Approximately: 7 1/16 x 1 3/4 inches (18 x 4.5 cm),"Made in Mangshan, Luoyang, Henan Province, China, Asia",142988,Currently not on view,Earthenware with painted decoration,,Attendant,http://www.philamuseum.org/collections/permanent/142988.html
3757,1971-45-11,"Peter Paone, American, born 1936. Printed by C. W. Hunsberger.",,"Gift of an anonymous donor, 1971","Prints, Drawings, and Photographs",1970,"Plate: 6 x 5 inches (15.2 x 12.7 cm)
Sheet: 10 x 8 inches (25.4 x 20.3 cm)","Made in United States, North and Central America",67279,Currently not on view,Etching,,Rabbit on a Table,http://www.philamuseum.org/collections/permanent/67279.html
